Month,Nippon India Growth Fund (NAV ₹)
1/04/2023,2278.42
1/05/2023,2325.16
1/06/2023,2559.11
1/07/2023,2749.38
1/08/2023,2684.38
1/09/2023,2847.93
1/10/2023,2773.41
1/11/2023,3004.72
1/12/2023,3235.14
1/01/2024,3341.55
1/02/2024,3513.84
1/03/2024,3581.46
1/04/2024,3633.28
1/05/2024,3668.91
1/06/2024,3888.5
1/07/2024,4140.22
1/08/2024,4076.39
1/09/2024,4232.18
1/10/2024,4072.6
1/11/2024,3992.04
1/12/2024,3883.6
1/01/2025,3820.14
1/02/2025,3605.77
1/03/2025,3622.48
1/04/2025,3902.54
1/05/2025,4084.33
1/06/2025,4197.62
1/07/2025,4318.94
1/08/2025,4421.07
1/09/2025,4512.33
1/10/2025,4388.17
1/11/2025,4507.62
1/12/2025,4614.88
1/01/2026,4520.41
1/02/2026,4491.63
1/03/2026,4623.94
1/04/2026,4760.16